Country,Number_of_Bags,Harvest_Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Moisture,Category_One_Defects,Quakers,Color,Category_Two_Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Bag Weight,Colors,quality_score,Variety,Processing Method
brazil,300,2013,7.42,7.42,7.08,7.33,7.67,7.5,9.33,9.33,10,7.42,80.5,0.1,0,0,others,10,1250,1250,1250,60,bluish-green,80.5,Yellow Bourbon,Semi-washed / Semi-pulped
united states (hawaii),10,2013,7.42,7.33,7.33,7.58,7.58,7.42,8.67,10,10,7.17,80.5,0.11,1,0,green,0,others,others,others,100,green,80.5,Hawaiian Kona,Natural / Dry
guatemala,250,2013,7.5,7.5,7,7.67,7.17,7,10,10,10,6.67,80.5,0.12,1,0,green,1,1859.28,1859.28,1859.28,1,green,80.5,Bourbon,Washed / Wet
mexico,18,2012,7.25,7.25,7.08,7.33,7.25,7.17,10,10,10,7.17,80.5,0.15,0,0,others,1,1450,1450,1450,1,bluish-green,80.5,Typica,Washed / Wet
honduras,275,2016,7.25,7.42,7,7.42,7.33,7,10,10,10,7,80.42,0.1,0,0,green,0,1450,1450,1450,69,green,80.42,,Other
taiwan,10,2014,7.58,7.17,7.17,7.17,7.17,7.17,10,10,10,7,80.42,0.14,0,0,green,0,600,600,600,60,green,80.42,Typica,Washed / Wet
el salvador,2,2013,7.33,7.17,7.08,7.08,7.33,7.17,10,10,10,7.25,80.42,0,0,0,green,1,1450,1450,1450,2,green,80.42,Bourbon,Washed / Wet
china,1,2013,7.25,7.08,7.25,7.17,7.33,7.17,10,10,10,7.17,80.42,0.17,0,0,green,14,1700,1700,1700,2,green,80.42,Other,Washed / Wet
taiwan,10,2013,7.25,7.25,7.17,7.25,7.25,7.25,10,10,10,7,80.42,0.11,0,0,green,0,600,600,600,30,green,80.42,Typica,Washed / Wet
mexico,250,2012,6.92,7.17,7.08,7.5,7.33,7.17,10,10,10,7.25,80.42,0.1,2,0,green,4,1050,1050,1050,1,green,80.42,Typica,Washed / Wet
mexico,250,2012,7.42,7.08,7.08,7.33,7.25,7.17,10,10,10,7.08,80.42,0.12,4,0,green,16,1550,1550,1550,1,green,80.42,Caturra,Washed / Wet
burundi,300,2016,7.08,7.25,7.17,7.33,7.08,7.08,10,10,10,7.33,80.33,0.12,0,0,green,0,1700,1700,1700,60,green,80.33,,Other
"tanzania, united republic of",10,2015,7.25,7.17,7,7.25,7.42,7.08,10,10,10,7.17,80.33,0.13,0,0,green,5,1700,1700,1700,60,green,80.33,Bourbon,Washed / Wet
"tanzania, united republic of",1,2014,7.25,7.17,7.25,7.25,7.25,7.08,10,10,10,7.08,80.33,0.12,0,0,bluish-green,5,others,others,others,60,bluish-green,80.33,Other,Washed / Wet
taiwan,10,2013,7.25,7.25,7.08,7.25,7.25,7.25,10,10,10,7,80.33,0.11,0,0,green,0,600,600,600,30,green,80.33,Yellow Bourbon,Other
guatemala,250,2013,7.33,7.33,6.83,7.5,7,7.17,10,10,10,7.17,80.33,0.11,1,0,green,4,1310.64,1310.64,1310.64,69,green,80.33,Bourbon,Washed / Wet
mexico,10,2012,7.25,7.08,7.08,7.33,7.33,7.17,10,10,10,7.08,80.33,0.11,0,0,green,21,940,940,940,1,green,80.33,Typica,Semi-washed / Semi-pulped
united states (hawaii),10,2012,7.17,7.5,6.92,7.33,7.67,7.33,9.33,10,10,7.08,80.33,0.12,5,0,green,7,others,others,others,100,green,80.33,Hawaiian Kona,Washed / Wet
ethiopia,360,2010,7.25,7.25,7.25,7.33,7.5,8,9.33,9.33,10,7.08,80.33,0.1,0,0,others,1,others,others,others,6,bluish-green,80.33,,Other
brazil,440,2017,7.17,7.33,7.42,7.08,7,7,10,10,10,7.25,80.25,0.11,0,1,green,1,995,995,995,59,green,80.25,Catuai,Natural / Dry
honduras,275,2016,7.25,7.25,7,7,7.42,7,10,10,10,7.33,80.25,0.1,0,0,green,4,1400,1400,1400,69,green,80.25,Caturra,Natural / Dry
mexico,60,2016,7.25,7.17,7,7.33,7.33,7,10,10,10,7.17,80.25,0.1,0,0,green,2,1600,1600,1600,69,green,80.25,Caturra,Washed / Wet
myanmar,2,2015,8,7.08,7,7.33,7.08,6.92,10,10,10,6.83,80.25,0.11,1,0,green,26,914.4,914.4,914.4,2,green,80.25,Other,Natural / Dry
myanmar,1,2014,7.42,7,7.08,7,7.17,7.33,10,10,10,7.25,80.25,0,0,0,green,1,4287,4287,4287,2,green,80.25,Catuai,Natural / Dry
nicaragua,275,2015,7.08,6.92,7,7.25,7.5,7.25,10,10,10,7.25,80.25,0.11,0,0,green,2,900,900,900,69,green,80.25,Caturra,Washed / Wet
united states (hawaii),2,2014,7.5,7.08,7.67,7.67,7.42,7.58,9.33,9.33,9.33,7.33,80.25,0.12,4,0,green,13,others,others,others,100,green,80.25,Hawaiian Kona,Natural / Dry
colombia,1,2012,7.42,8,7.83,7.75,8.08,7.58,8.67,8.67,8.67,7.58,80.25,0.1,0,0,green,0,others,others,others,2,green,80.25,Typica,Washed / Wet
taiwan,5,2013,7.25,7.08,7.25,7.25,7.17,7.25,10,10,10,7,80.25,0.11,0,0,green,0,700,700,700,30,green,80.25,Typica,Semi-washed / Semi-pulped
guatemala,250,2012,7,7.17,7.33,7.33,7,7.17,10,10,10,7.25,80.25,0.11,1,0,green,12,1400,1400,1400,1,green,80.25,Caturra,Washed / Wet
mexico,10,2012,7.58,7.33,7.17,7.25,6.75,7,10,10,10,7.17,80.25,0.11,2,0,others,8,808,808,808,1,bluish-green,80.25,Caturra,Washed / Wet
vietnam,1,2017,7.42,7.25,7.25,7.58,7.42,7.33,8.67,10,10,7.25,80.17,0,0,0,others,2,1550,1550,1550,2,bluish-green,80.17,Catimor,Other
nicaragua,275,2015,7.17,7.08,7.08,7.33,7.25,7.08,10,10,10,7.17,80.17,0.11,0,0,others,2,1100,1275,1187.5,2,bluish-green,80.17,Caturra,Washed / Wet
honduras,275,2015,7.25,7.25,7,7.17,7.08,7.08,10,10,10,7.33,80.17,0.11,0,0,green,0,1400,1400,1400,1,green,80.17,Catuai,Washed / Wet
guatemala,250,2013,7.33,7.33,7,7.17,7.17,7.17,10,10,10,7,80.17,0.11,0,0,green,2,1310.64,1310.64,1310.64,69,green,80.17,Bourbon,Washed / Wet
mexico,20,2012,7.33,7.08,6.92,7.42,7.25,7.08,10,10,10,7.08,80.17,0.11,0,0,green,2,1250,1250,1250,1,green,80.17,Typica,Washed / Wet
mexico,15,2012,7.58,7.42,7.33,7.5,7.08,7.17,8.67,10,10,7.42,80.17,0.14,1,0,green,2,1550,1550,1550,1,green,80.17,Typica,Washed / Wet
mexico,15,2012,7.33,7.33,7.17,7.08,7.25,7,10,10,10,7,80.17,0.12,0,0,green,12,1000,1000,1000,1,green,80.17,Bourbon,Washed / Wet
guatemala,250,2012,7.33,7.33,7,7.33,7,7,10,10,10,7.17,80.17,0.11,0,0,green,5,1310.64,1310.64,1310.64,1,green,80.17,Bourbon,Washed / Wet
united states (hawaii),22,others,7.58,7.5,7.33,7.33,7.67,7.33,9.33,9.33,9.33,7.42,80.17,0.05,12,0,others,1,others,others,others,100,bluish-green,80.17,,Other
brazil,440,2017,7.17,7.17,7,7.17,7.25,7.25,10,10,10,7.08,80.08,0.11,0,0,green,5,1100,1100,1100,60,green,80.08,Bourbon,Pulped natural / honey
taiwan,10,2014,7.42,7.25,7.25,7.17,7,7,10,10,10,7,80.08,0.07,0,0,green,0,850,850,850,60,green,80.08,Typica,Washed / Wet
nicaragua,1,2013,7.25,7.17,6.92,7.25,7.17,7.25,10,10,10,7.08,80.08,0.1,0,0,green,4,others,others,others,5,green,80.08,,Natural / Dry
taiwan,10,2013,7.25,7.25,7.25,7.25,7.08,7,10,10,10,7,80.08,0.11,0,0,green,0,200,200,200,30,green,80.08,Typica,Other
taiwan,10,2013,7.25,7.25,7.25,7,7.25,7.08,10,10,10,7,80.08,0.11,0,0,green,0,150,150,150,30,green,80.08,Typica,Washed / Wet
taiwan,10,2013,7.25,7.25,7.25,7.08,7.17,7.08,10,10,10,7,80.08,0.11,0,0,green,0,250,250,250,30,green,80.08,Typica,Semi-washed / Semi-pulped
mexico,13,2012,7.33,7.17,7.25,7.08,7.08,7.08,10,10,10,7.08,80.08,0.15,0,0,others,0,1300,1300,1300,1,bluish-green,80.08,Typica,Washed / Wet
mexico,10,2012,7.25,7.08,7,7.17,7.33,7.17,10,10,10,7.08,80.08,0.14,1,0,green,17,1300,1300,1300,1,green,80.08,Typica,Washed / Wet
nicaragua,275,2017,7.33,7.08,6.92,7.08,7.42,7.17,10,10,10,7,80,0.1,0,0,green,5,1250,1250,1250,69,green,80,Caturra,Washed / Wet
myanmar,1,2015,7.17,7.33,7,7.42,7.17,7,10,10,10,6.92,80,0,0,0,green,4,3845,3845,3845,2,green,80,Other,Washed / Wet
mexico,280,2014,7.58,7.75,7.42,7.5,7.5,7.5,8.67,8.67,10,7.42,80,0,0,0,green,2,1300,1500,1400,2,green,80,Typica,Washed / Wet
taiwan,10,2013,7.25,7.25,7.25,7,7.25,7,10,10,10,7,80,0.11,0,0,green,0,250,250,250,30,green,80,Typica,Washed / Wet
thailand,2,2012,7.33,6.67,7.08,7.42,7.42,7.08,10,10,10,7,80,0,0,0,green,0,800,800,800,1,green,80,,Washed / Wet
mexico,20,2012,7.25,7.25,7.08,7.17,7.33,7.33,9.33,10,10,7.25,80,0.12,0,0,green,9,1250,1250,1250,1,green,80,Typica,Washed / Wet
mexico,256,2012,7.08,7.33,7,7.33,7.08,7,10,10,10,7.17,80,0.11,0,0,green,12,1100,1100,1100,1,green,80,Other,Washed / Wet
ethiopia,300,2010,7.42,7.42,7.5,7.92,7.75,7.58,8.67,9.33,8.67,7.75,80,0.05,0,0,others,2,others,others,others,6,bluish-green,80,,Other
colombia,275,2015,7.83,7.67,7.58,7.75,7.83,7.17,6.67,10,10,7.42,79.92,0,0,0,green,1,others,others,others,2,green,79.92,,Washed / Wet
united states (hawaii),12,2014,7.5,7,7,6.92,7.33,7.17,10,10,10,7,79.92,0.11,1,0,green,3,others,others,others,100,green,79.92,Hawaiian Kona,Natural / Dry
mexico,400,2013,7.33,7.08,7.08,7.33,7.42,7.17,9.33,10,10,7.17,79.92,0.12,0,0,green,4,1300,1300,1300,1,green,79.92,Bourbon,Washed / Wet
mexico,10,2012,7.17,7.17,6.92,7.25,7.33,7.08,10,10,10,7,79.92,0.12,1,0,green,7,1100,1100,1100,1,green,79.92,Other,Washed / Wet
mexico,82,2012,7.5,7.17,7,7.17,7.25,7.08,10,10,10,6.75,79.92,0,0,0,others,0,1100,1100,1100,1,bluish-green,79.92,Bourbon,Washed / Wet
