Country,Number_of_Bags,Harvest_Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Moisture,Category_One_Defects,Quakers,Color,Category_Two_Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Bag Weight,Colors,quality_score,Variety,Processing Method
colombia,250,2012,7.75,7.75,7.58,7.83,7.17,7.75,10,10,10,7.83,83.67,0.11,0,0,green,1,1750,1750,1750,70,green,83.67,Caturra,Washed / Wet
guatemala,250,2012,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8,83.67,0.11,0,0,green,1,1450,1450,1450,1,green,83.67,Caturra,Natural / Dry
guatemala,250,2012,7.67,8.17,7.5,7.42,7.58,7.83,10,10,10,7.5,83.67,0.11,0,0,green,13,1310.64,1310.64,1310.64,1,green,83.67,Bourbon,Washed / Wet
mexico,48,2012,7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,7.58,83.67,0.12,4,0,green,11,1100,1100,1100,1,green,83.67,Typica,Washed / Wet
indonesia,10,2012,8.17,7.67,7.58,7.58,7.42,7.67,10,10,10,7.58,83.67,0.12,0,0,green,0,1200,1600,1400,60,green,83.67,Typica,Washed / Wet
guatemala,250,2012,7.67,7.5,7.33,8,7.67,7.67,10,10,10,7.83,83.67,0.1,0,0,green,0,1524,1524,1524,69,green,83.67,Caturra,Washed / Wet
united states (hawaii),3,others,7.75,8,7.92,8.08,7.75,8,9.33,9.33,9.33,8.17,83.67,0,0,0,others,0,others,others,others,100,bluish-green,83.67,,Other
brazil,320,2017,7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,7.92,83.58,0.11,0,0,green,5,890,890,890,60,green,83.58,Bourbon,Natural / Dry
guatemala,275,2016,7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,83.58,0.11,0,1,green,0,1128.3696,1128.3696,1128.3696,69,green,83.58,Caturra,Washed / Wet
colombia,275,2016,7.75,7.75,7.58,7.58,7.67,7.58,10,10,10,7.67,83.58,0.11,0,0,green,4,others,others,others,70,green,83.58,Caturra,Washed / Wet
china,3,2015,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,83.58,0.1,0,1,green,4,1100,1100,1100,60,green,83.58,Catimor,Washed / Wet
colombia,275,2015,7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,7.58,83.58,0.12,0,0,green,3,1600,1950,1775,70,green,83.58,Caturra,Washed / Wet
mexico,275,2014,7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,7.75,83.58,0.12,1,0,green,13,1200,1200,1200,2,green,83.58,Caturra,Washed / Wet
ethiopia,250,2014,7.75,7.67,7.58,7.67,7.5,7.67,10,10,10,7.75,83.58,0,0,0,others,7,1700,2000,1850,60,bluish-green,83.58,Other,Washed / Wet
uganda,100,2013,7.67,7.67,7.42,7.75,7.75,7.67,10,10,10,7.67,83.58,0.12,0,0,green,5,1800,1800,1800,60,green,83.58,SL14,Washed / Wet
colombia,250,2014,7.67,7.58,7.67,7.67,7.67,7.67,10,10,10,7.67,83.58,0,0,0,green,0,1600,1600,1600,70,green,83.58,Caturra,Natural / Dry
colombia,250,2014,7.67,7.58,7.67,7.58,7.67,7.75,10,10,10,7.67,83.58,0.12,0,0,green,1,1550,1550,1550,70,green,83.58,Caturra,Washed / Wet
colombia,250,2014,7.75,7.58,7.5,7.58,7.75,7.83,10,10,10,7.58,83.58,0,0,0,others,0,1550,1550,1550,70,bluish-green,83.58,Caturra,Washed / Wet
taiwan,10,2013,7.75,7.75,7.75,7.75,7.5,7.58,10,10,10,7.5,83.58,0.11,0,0,green,0,1000,1000,1000,30,green,83.58,Typica,Other
colombia,275,2012,7.67,7.67,7.58,7.67,7.75,7.58,10,10,10,7.67,83.58,0.11,0,0,green,3,1600,1950,1775,70,green,83.58,Caturra,Washed / Wet
mexico,250,2012,7.83,7.67,7.58,7.58,7.67,7.58,10,10,10,7.67,83.58,0.12,0,0,others,2,1000,1000,1000,1,bluish-green,83.58,Typica,Washed / Wet
colombia,250,2012,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,83.58,0.11,0,0,green,4,2136,2136,2136,70,green,83.58,Caturra,Natural / Dry
brazil,33,2012,7.83,7.75,7.5,7.75,7.5,7.58,10,10,10,7.67,83.58,0.12,0,0,bluish-green,2,1100,1100,1100,60,bluish-green,83.58,Catuai,Semi-washed / Semi-pulped
colombia,50,2016,7.75,7.58,7.58,7.75,7.75,7.5,10,10,10,7.58,83.5,0,0,0,bluish-green,5,1799,1799,1799,70,bluish-green,83.5,Caturra,Washed / Wet
taiwan,1,2016,7.58,7.58,7.17,7.17,7,7,10,10,10,10,83.5,0.11,0,0,bluish-green,0,others,others,others,10,bluish-green,83.5,,Other
costa rica,245,2015,7.92,7.42,7.5,7.67,7.5,7.67,10,10,10,7.83,83.5,0,0,0,bluish-green,0,1850,1850,1850,69,bluish-green,83.5,Caturra,Washed / Wet
colombia,250,2016,7.75,7.58,7.58,7.5,7.75,7.75,10,10,10,7.58,83.5,0,0,0,green,0,1000,1000,1000,70,green,83.5,Caturra,Natural / Dry
guatemala,250,2016,7.67,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,83.5,0.1,0,2,bluish-green,5,1219.2,1219.2,1219.2,69,bluish-green,83.5,Bourbon,Washed / Wet
colombia,180,2015,7.58,7.58,7.58,7.58,7.75,7.67,10,10,10,7.75,83.5,0.12,0,0,green,4,1600,1950,1775,70,green,83.5,Caturra,Washed / Wet
"tanzania, united republic of",5,2015,7.75,7.67,7.58,7.67,7.67,7.58,10,10,10,7.58,83.5,0.13,0,0,green,21,1400,1400,1400,60,green,83.5,Ruiru 11,Washed / Wet
indonesia,200,2015,7.25,7.67,7.58,7.92,7.83,7.58,10,10,10,7.67,83.5,0.13,0,0,bluish-green,8,1500,1500,1500,30,bluish-green,83.5,Sumatra,Semi-washed / Semi-pulped
ethiopia,320,2014,7.67,7.75,7.5,7.58,7.75,7.67,10,10,10,7.58,83.5,0.1,1,0,others,18,1600,1600,1600,60,bluish-green,83.5,,Natural / Dry
colombia,275,2014,7.67,7.42,7.67,7.83,7.58,7.67,10,10,10,7.67,83.5,0,1,0,others,0,others,others,others,2,bluish-green,83.5,,Washed / Wet
colombia,275,2014,8,7.58,7.25,7.58,7.92,7.58,10,10,10,7.58,83.5,0.11,0,0,green,0,1850,1850,1850,70,green,83.5,Caturra,Washed / Wet
guatemala,250,2013,7.58,7.75,7.5,7.83,7.42,7.67,10,10,10,7.75,83.5,0.1,0,0,green,0,1400,1400,1400,1,green,83.5,Caturra,Washed / Wet
colombia,250,2014,7.75,7.58,7.33,7.5,7.83,7.83,10,10,10,7.67,83.5,0,2,0,others,0,1650,1650,1650,70,bluish-green,83.5,Caturra,Washed / Wet
honduras,275,2014,7.67,7.5,7.67,7.5,7.67,7.67,10,10,10,7.83,83.5,0.1,0,0,green,3,1350,1350,1350,1,green,83.5,Caturra,Natural / Dry
colombia,250,2013,7.58,7.75,7.42,7.67,7.75,7.67,10,10,10,7.67,83.5,0,1,0,green,1,1750,1750,1750,70,green,83.5,Caturra,Washed / Wet
colombia,250,2013,7.58,7.67,7.58,7.75,7.58,7.75,10,10,10,7.58,83.5,0.11,0,others,green,2,1750,1750,1750,70,green,83.5,Caturra,Washed / Wet
mexico,10,2012,7.83,7.58,7.25,7.5,7.5,7.42,10,10,10,8.42,83.5,0.13,0,0,green,14,1170,1170,1170,1,green,83.5,Bourbon,Natural / Dry
mexico,10,2012,7.67,7.75,7.67,7.75,7.58,7.5,10,10,10,7.58,83.5,0.11,0,0,green,12,940,940,940,1,green,83.5,Typica,Semi-washed / Semi-pulped
mexico,15,2012,7.75,7.67,7.67,7.75,7.33,7.5,10,10,10,7.83,83.5,0.12,0,0,green,0,1400,1400,1400,1,green,83.5,Pacamara,Washed / Wet
guatemala,275,2012,7.83,7.5,7.5,8,7.67,7.5,10,10,10,7.5,83.5,0.1,0,0,green,5,1524,1524,1524,69,green,83.5,Caturra,Washed / Wet
colombia,175,2012,7.67,7.58,7.58,7.67,7.67,7.67,10,10,10,7.67,83.5,0.11,0,0,green,0,1600,1950,1775,70,green,83.5,Caturra,Washed / Wet
guatemala,250,2012,7.5,7.5,7.75,7.5,8,7.67,10,10,10,7.58,83.5,0,3,0,green,12,1402.08,1402.08,1402.08,2,green,83.5,Bourbon,Washed / Wet
united states (hawaii),14,others,7.5,7.67,7.58,7.92,7.58,7.67,10,10,10,7.58,83.5,0.01,0,0,others,0,others,others,others,100,bluish-green,83.5,,Other
indonesia,10,23-Jul-10,7.83,7.58,7.58,7.58,7.75,7.58,10,10,10,7.58,83.5,0,0,0,others,0,1600,1600,1600,60,bluish-green,83.5,,Other
colombia,300,2017,7.5,7.58,7.58,7.5,7.75,7.83,10,10,10,7.67,83.42,0,0,2,green,1,439,439,439,29,green,83.42,Caturra,Washed / Wet
guatemala,50,2017,7.67,7.75,7.5,7.58,7.58,7.67,10,10,10,7.67,83.42,0.1,0,0,green,3,1700,1700,1700,69,green,83.42,Bourbon,Washed / Wet
colombia,600,2016,7.67,7.67,7.5,7.67,7.67,7.58,10,10,10,7.67,83.42,0.11,0,0,green,2,442,442,442,29,green,83.42,Caturra,Washed / Wet
costa rica,275,2016,7.58,7.5,7.42,7.92,7.5,7.67,10,10,10,7.83,83.42,0.09,0,0,bluish-green,4,1850,1850,1850,69,bluish-green,83.42,Caturra,Washed / Wet
taiwan,1,2015,7.67,7.67,7,7.08,7,7,10,10,10,10,83.42,0.11,0,0,bluish-green,0,others,others,others,10,bluish-green,83.42,,Other
uganda,20,2015,7.58,7.75,7.33,7.75,7.67,7.58,10,10,10,7.75,83.42,0.11,0,0,green,1,1800,1800,1800,1218,green,83.42,SL14,Washed / Wet
thailand,500,2015,7.5,7.58,7.75,7.5,7.75,7.67,10,10,10,7.67,83.42,0.13,0,0,bluish-green,0,1200,1200,1200,25,bluish-green,83.42,Catimor,Washed / Wet
el salvador,275,2016,7.58,7.5,7.75,7.58,7.75,7.67,10,10,10,7.58,83.42,0.11,0,0,others,0,1330,1330,1330,69,bluish-green,83.42,Bourbon,Washed / Wet
colombia,275,2015,7.58,7.67,7.58,7.67,7.58,7.67,10,10,10,7.67,83.42,0.12,4,0,green,0,442,442,442,70,green,83.42,Caturra,Natural / Dry
brazil,300,2014,7.33,7.83,7.75,7.5,7.42,7.83,10,10,10,7.75,83.42,0.12,0,0,green,6,others,others,others,60,green,83.42,Yellow Bourbon,Semi-washed / Semi-pulped
"tanzania, united republic of",39,2014,7.75,7.67,7.58,7.67,7.58,7.58,10,10,10,7.58,83.42,0.13,0,0,green,4,1600,1600,1600,60,green,83.42,Bourbon,Washed / Wet
colombia,250,2014,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10,10,7.58,83.42,0.12,0,0,green,1,1813,1813,1813,70,green,83.42,Caturra,Washed / Wet
guatemala,250,2013,7.75,7.83,7.33,7.83,7.5,7.67,10,10,10,7.5,83.42,0.1,0,0,green,1,1219.2,1219.2,1219.2,69,green,83.42,Bourbon,Natural / Dry
guatemala,250,2014,7.67,7.75,7.5,7.83,7.58,7.5,10,10,10,7.58,83.42,0.1,0,0,green,2,1500,1500,1500,69,green,83.42,Caturra,Washed / Wet
guatemala,250,2013,7.67,7.5,7.75,7.42,7.75,7.75,10,10,10,7.58,83.42,0.11,0,0,green,0,1310.64,1310.64,1310.64,69,green,83.42,Bourbon,Washed / Wet
united states (hawaii),13,2012,7.42,7.75,7.67,7.58,7.67,7.67,10,10,10,7.67,83.42,0,0,0,green,2,others,others,others,100,green,83.42,Hawaiian Kona,Natural / Dry
colombia,250,2012,7.5,7.75,7.58,7.5,7.67,7.75,10,10,10,7.67,83.42,0.11,0,0,green,2,1450,1450,1450,70,green,83.42,Caturra,Washed / Wet
colombia,250,others,7.58,7.58,7.58,7.67,7.75,7.67,10,10,10,7.58,83.42,0.1,1,0,others,3,others,others,others,70,bluish-green,83.42,,Other
united states (hawaii),12,2010,7.5,7.92,7.42,7.67,7.83,7.58,10,10,10,7.5,83.42,0.01,0,0,others,0,others,others,others,60,bluish-green,83.42,,Other
thailand,4,others,7.58,7.25,7.5,7.92,7.92,7.42,10,10,10,7.83,83.42,0.11,0,0,others,0,others,others,others,1,bluish-green,83.42,Peaberry,Other
mexico,6,2016,7.25,7.88,7.38,7.63,7.5,8.75,9,10,10,8,83.38,0.09,2,0,others,4,900,1200,1050,6,bluish-green,83.38,,Other
colombia,275,2016,7.75,7.5,7.75,7.58,7.58,7.58,10,10,10,7.58,83.33,0,0,1,others,0,1650,1650,1650,70,bluish-green,83.33,Caturra,Washed / Wet
colombia,130,2016,7.67,7.58,7.58,7.42,7.67,7.75,10,10,10,7.67,83.33,0,0,0,bluish-green,0,others,others,others,70,bluish-green,83.33,Caturra,Washed / Wet
colombia,275,2016,7.83,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,83.33,0,1,0,green,2,others,others,others,70,green,83.33,Caturra,Washed / Wet
brazil,10,2015,7.5,7.83,7.33,7.58,7.58,7.92,10,10,10,7.58,83.33,0.1,1,0,green,5,1227,1227,1227,2,green,83.33,Catuai,Semi-washed / Semi-pulped
mexico,275,2014,7.75,7.75,7.5,7.67,7.5,7.58,10,10,10,7.58,83.33,0.12,0,0,green,2,1200,1200,1200,1,green,83.33,Caturra,Washed / Wet
colombia,275,2015,7.67,7.75,7.42,7.83,7.83,7.42,10,10,10,7.42,83.33,0.11,0,0,green,1,1650,1650,1650,70,green,83.33,Caturra,Washed / Wet
"tanzania, united republic of",10,2014,7.75,7.58,7.67,7.58,7.58,7.58,10,10,10,7.58,83.33,0.12,0,0,green,6,1700,1700,1700,60,green,83.33,Other,Semi-washed / Semi-pulped
mexico,200,2013,7.67,7.67,7.58,7.67,7.5,7.58,10,10,10,7.67,83.33,0.12,0,0,green,0,1100,1100,1100,1,green,83.33,Other,Washed / Wet
costa rica,250,2014,7.67,7.67,7.42,7.67,7.67,7.67,10,10,10,7.58,83.33,0.12,0,0,green,3,1300,1300,1300,3,green,83.33,Caturra,Washed / Wet
united states (hawaii),12,2014,7.83,7.58,7.83,7.67,7.92,8,9.33,10,9.33,7.83,83.33,0.11,0,0,bluish-green,1,others,others,others,100,bluish-green,83.33,Hawaiian Kona,Natural / Dry
costa rica,250,2013,7.5,7.67,7.67,7.5,7.83,7.17,10,10,10,8,83.33,0.11,0,0,green,3,1100,1300,1200,1,green,83.33,Catuai,Washed / Wet
peru,280,2013,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10,10,7.5,83.33,0.12,0,0,green,5,others,others,others,5,green,83.33,,Washed / Wet
haiti,2,2012,7.58,7.5,7.67,7.5,7.83,7.42,10,10,10,7.83,83.33,0.11,0,0,green,4,1280.16,1280.16,1280.16,4,green,83.33,Typica,Washed / Wet
colombia,250,2013,7.67,7.67,7.5,7.67,7.92,7.42,10,10,10,7.5,83.33,0.11,0,0,green,1,1000,1000,1000,70,green,83.33,Caturra,Natural / Dry
guatemala,250,2013,7.83,7.67,7.17,7.67,7.67,7.67,10,10,10,7.67,83.33,0.11,0,0,green,3,1310.64,1310.64,1310.64,69,green,83.33,Bourbon,Washed / Wet
united states (hawaii),7,2012,7.92,7.5,7.58,7.83,7.67,7.67,9.33,10,10,7.83,83.33,0.1,0,0,bluish-green,4,others,others,others,100,bluish-green,83.33,Hawaiian Kona,Natural / Dry
burundi,220,2012,7.75,7.67,7.33,7.5,7.5,7.75,10,10,10,7.83,83.33,0,0,0,others,5,1880,1880,1880,60,bluish-green,83.33,Bourbon,Washed / Wet
colombia,250,2012,7.5,7.67,7.67,7.58,7.67,7.58,10,10,10,7.67,83.33,0,0,0,green,1,1750,1750,1750,70,green,83.33,Caturra,Washed / Wet
united states (hawaii),27,others,8.08,7.83,7.83,7.75,7.67,7.58,9.33,10,9.33,7.92,83.33,0.01,0,0,others,0,others,others,others,100,bluish-green,83.33,,Other
united states (hawaii),25,others,7.58,7.67,7.58,7.5,7.83,7.67,10,10,10,7.5,83.33,0,0,0,others,0,others,others,others,100,bluish-green,83.33,,Other
mexico,50,2017,7.67,7.83,7.42,7.83,7.33,7.5,10,10,10,7.67,83.25,0.11,0,0,bluish-green,0,1600,1600,1600,50,bluish-green,83.25,Typica,Washed / Wet
costa rica,29,2016,7.5,7.5,7.83,7.5,7.67,7.67,10,10,10,7.58,83.25,0.11,0,0,green,0,1900,1900,1900,46,green,83.25,Catuai,Pulped natural / honey
costa rica,275,2015,7.83,7.5,7.42,7.67,7.5,7.67,10,10,10,7.67,83.25,0.11,0,0,others,0,others,others,others,69,bluish-green,83.25,,Washed / Wet
guatemala,275,2016,7.5,7.58,7.42,7.83,7.67,7.58,10,10,10,7.67,83.25,0.11,0,2,green,7,2100,2100,2100,0,green,83.25,Pacas,Washed / Wet
uganda,150,2015,7.5,7.67,7.67,7.42,7.67,7.67,10,10,10,7.67,83.25,0.12,0,0,green,1,others,others,others,9000,green,83.25,SL14,Washed / Wet
brazil,300,2016,7.58,7.67,7.42,7.5,7.67,7.42,10,10,10,8,83.25,0.12,0,0,green,4,others,others,others,60,green,83.25,,Other
colombia,304,2016,7.58,7.67,7.67,7.17,7.75,7.83,10,10,10,7.58,83.25,0,0,0,green,2,442,442,442,35,green,83.25,Caturra,Natural / Dry
mexico,11,2015,7.83,7.75,7.5,7.58,7.58,7.58,10,10,10,7.42,83.25,0.12,0,0,bluish-green,2,1261,1261,1261,2,bluish-green,83.25,Typica,Natural / Dry
taiwan,10,2015,7.67,7.5,7.5,7.5,7.67,7.83,10,10,10,7.58,83.25,0.1,0,0,bluish-green,0,1000,1000,1000,15,bluish-green,83.25,Bourbon,Washed / Wet
taiwan,10,2014,7.92,7.83,7.75,7.58,7.5,7.33,10,10,10,7.33,83.25,0.1,0,0,green,0,800,800,800,60,green,83.25,Typica,Washed / Wet
colombia,250,2014,7.58,7.58,7.5,7.58,7.58,7.75,10,10,10,7.67,83.25,0,0,0,green,0,1483,1483,1483,70,green,83.25,Caturra,Natural / Dry
guatemala,26,2014,7.5,7.67,7.58,7.67,7.67,7.5,10,10,10,7.67,83.25,0.1,0,0,green,1,1500,1500,1500,69,green,83.25,Caturra,Washed / Wet
colombia,275,2013,7.83,7.5,7.67,7.33,7.67,7.67,10,10,10,7.58,83.25,0.11,0,0,green,1,1750,1750,1750,70,green,83.25,Caturra,Washed / Wet
mexico,200,2013,7.58,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,83.25,0.12,0,0,green,6,1300,1300,1300,1,green,83.25,Bourbon,Washed / Wet
united states (hawaii),11,2012,7.58,7.75,7.83,8,8.08,7.67,9.33,10,9.33,7.67,83.25,0.11,0,0,bluish-green,4,others,others,others,100,bluish-green,83.25,Hawaiian Kona,Natural / Dry
mexico,10,2012,7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,83.25,0.13,0,0,green,7,others,others,others,1,green,83.25,Mundo Novo,Washed / Wet
mexico,54,2012,7.75,7.75,7.42,7.92,7.33,7.5,10,10,10,7.58,83.25,0.12,0,0,bluish-green,0,1000,1000,1000,1,bluish-green,83.25,Caturra,Washed / Wet
guatemala,250,2012,7.83,7.58,7.08,7.83,7.42,8.08,10,10,10,7.42,83.25,0.11,0,0,green,9,1310.64,1310.64,1310.64,1,green,83.25,Bourbon,Washed / Wet
brazil,30,2012,7.75,7.67,7.5,7.58,7.58,7.58,10,10,10,7.58,83.25,0.11,0,0,bluish-green,1,1200,1200,1200,60,bluish-green,83.25,Yellow Bourbon,Semi-washed / Semi-pulped
colombia,250,2012,7.67,7.58,7.58,7.42,7.83,7.58,10,10,10,7.58,83.25,0.12,0,0,green,1,175,175,175,70,green,83.25,Caturra,Washed / Wet
colombia,175,2012,7.67,7.67,7.5,7.5,7.58,7.67,10,10,10,7.67,83.25,0.11,0,0,green,0,1600,1950,1775,70,green,83.25,Caturra,Washed / Wet
colombia,250,2011,7.92,7.75,7.25,7.42,7.83,7.58,10,10,10,7.5,83.25,0.08,0,0,others,0,1600,1800,1700,70,bluish-green,83.25,,Other
colombia,250,2010,8,7.67,7.67,7.25,7.67,7.5,10,10,10,7.5,83.25,0.13,0,0,others,1,1880,1880,1880,70,bluish-green,83.25,,Other
colombia,250,2010,7.92,7.75,7.5,7.42,7.42,7.67,10,10,10,7.58,83.25,0.04,0,0,others,1,1800,1800,1800,70,bluish-green,83.25,,Other
brazil,320,2018,7.67,7.42,7.5,7.58,7.67,7.58,10,10,10,7.75,83.17,0.11,0,0,green,4,890,890,890,60,green,83.17,Bourbon,Natural / Dry
guatemala,275,2017,7.58,7.58,7.33,7.67,7.75,7.58,10,10,10,7.67,83.17,0.1,0,0,green,1,1901,1901,1901,69,green,83.17,Bourbon,Washed / Wet
"tanzania, united republic of",320,2016,7.67,7.58,7.42,7.67,7.67,7.58,10,10,10,7.58,83.17,0.12,0,0,green,3,168,168,168,60,green,83.17,Bourbon,Washed / Wet
peru,200,2017,7.92,7.5,7.5,7.58,7.67,7.5,10,10,10,7.5,83.17,0.11,0,1,green,0,others,others,others,13800,green,83.17,,Other
vietnam,1,2017,7.58,7.42,7.08,7.33,7.58,8.58,10,10,10,7.58,83.17,0.07,0,0,others,0,1550,1550,1550,2,bluish-green,83.17,Catimor,Natural / Dry
guatemala,250,2016,7.67,7.75,7.42,7.75,7.58,7.5,10,10,10,7.5,83.17,0.11,2,2,green,3,1500,1500,1500,1500,green,83.17,Caturra,Washed / Wet
honduras,275,2016,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,83.17,0.11,0,1,bluish-green,1,1450,1450,1450,69,bluish-green,83.17,Catuai,Washed / Wet
china,3,2015,7.5,7.67,7.33,7.67,7.67,7.67,10,10,10,7.67,83.17,0.11,0,0,green,0,1200,1200,1200,60,green,83.17,Catimor,Washed / Wet
china,3,2015,7.67,7.67,7.5,7.67,7.42,7.58,10,10,10,7.67,83.17,0.1,0,0,green,3,1600,1600,1600,60,green,83.17,Catimor,Washed / Wet
el salvador,275,2016,7.5,7.5,7.33,7.67,8,7.67,10,10,10,7.5,83.17,0,0,0,green,0,1350,1350,1350,69,green,83.17,Bourbon,Washed / Wet
guatemala,150,2015,7.5,7.75,7.5,7.83,7.58,7.5,10,10,10,7.5,83.17,0.11,0,0,green,1,1500,1500,1500,69,green,83.17,Bourbon,Washed / Wet
guatemala,100,2015,7.92,7.67,7.42,7.75,7.5,7.5,10,10,10,7.42,83.17,0.12,0,0,green,3,1400,1900,1650,69,green,83.17,Bourbon,Washed / Wet
kenya,300,2014,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,83.17,0.1,0,0,bluish-green,1,1,500,250.5,2,bluish-green,83.17,SL28,Washed / Wet
thailand,1,2014,7.67,7.58,7.58,7.75,7.42,7.67,10,10,10,7.5,83.17,0.12,0,0,bluish-green,0,800,800,800,1,bluish-green,83.17,,Washed / Wet
"tanzania, united republic of",180,2014,7.58,7.67,7.67,7.58,7.42,7.58,10,10,10,7.67,83.17,0.13,0,0,bluish-green,6,1653,1653,1653,60,bluish-green,83.17,Other,Washed / Wet
colombia,232,2014,7.58,7.5,7.5,7.67,7.5,7.67,10,10,10,7.75,83.17,0,0,0,others,4,1600,1950,1775,70,bluish-green,83.17,Caturra,Washed / Wet
uganda,84,2014,8,7.67,7.5,7.42,7.33,7.58,10,10,10,7.67,83.17,0.1,0,0,bluish-green,0,1800,1800,1800,60,bluish-green,83.17,SL14,Washed / Wet
colombia,1,2014,7.58,7.75,7.5,7.58,7.58,7.58,10,10,10,7.58,83.17,0.11,10,0,green,3,others,others,others,4,green,83.17,,Washed / Wet
honduras,275,2013,7.5,7.5,7.5,7.67,7.67,7.67,10,10,10,7.67,83.17,0.1,0,0,green,5,1450,1450,1450,1,green,83.17,Catuai,Natural / Dry
honduras,275,2014,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,83.17,0.11,0,0,green,3,1350,1350,1350,1,green,83.17,Caturra,Natural / Dry
guatemala,200,2014,7.33,7.83,7.17,8.17,7.33,7.67,10,10,10,7.67,83.17,0.09,0,0,green,1,1524,1524,1524,69,green,83.17,Catuai,Washed / Wet
united states (hawaii),6,2013,7.5,7.5,7.58,7.42,7.92,7.67,10,10,10,7.58,83.17,0.11,0,0,bluish-green,0,others,others,others,100,bluish-green,83.17,Hawaiian Kona,Natural / Dry
"tanzania, united republic of",300,2014,7.58,7.5,7.58,7.75,7.58,7.58,10,10,10,7.58,83.17,0.12,0,0,green,1,1800,1800,1800,1,green,83.17,Bourbon,Washed / Wet
guatemala,250,2013,7.67,7.83,7.33,7.67,7.5,7.67,10,10,10,7.5,83.17,0.11,0,0,green,2,1310.64,1310.64,1310.64,69,green,83.17,Bourbon,Washed / Wet
mexico,45,2013,7.75,7.58,7.58,7.58,7.5,7.42,10,10,10,7.75,83.17,0.11,0,0,green,2,1500,1500,1500,1,green,83.17,Typica,Washed / Wet
mexico,10,2012,7.75,7.67,7.58,7.5,7.42,7.58,10,10,10,7.67,83.17,0.12,3,0,others,8,532,532,532,1,bluish-green,83.17,Typica,Washed / Wet
mexico,10,2012,7.58,7.75,7.42,7.67,7.5,7.58,10,10,10,7.67,83.17,0.14,0,0,others,10,1089,1089,1089,1,bluish-green,83.17,Pacamara,Washed / Wet
colombia,275,2012,7.67,7.5,7.5,7.5,7.58,8.17,10,10,10,7.25,83.17,0.11,1,0,green,2,1600,1950,1775,70,green,83.17,Caturra,Washed / Wet
mexico,15,2012,7.75,7.5,7.42,7.75,7.58,7.58,10,10,10,7.58,83.17,0.13,0,0,green,5,700,700,700,1,green,83.17,Typica,Washed / Wet
colombia,250,2012,7.58,7.67,7.5,7.58,7.67,7.67,10,10,10,7.5,83.17,0.11,0,0,bluish-green,0,1750,1750,1750,70,bluish-green,83.17,Caturra,Washed / Wet
mexico,250,2012,7.5,7.75,7.58,7.58,7.67,7.5,10,10,10,7.58,83.17,0.11,0,0,others,5,1380,1380,1380,1,bluish-green,83.17,Typica,Washed / Wet
brazil,50,2012,7.75,7.67,7.58,7.5,7.58,7.58,10,10,10,7.5,83.17,0.12,0,0,green,1,1000,1000,1000,60,green,83.17,Mundo Novo,Natural / Dry
brazil,100,2012,7.92,7.58,7.5,7.58,7.42,7.5,10,10,10,7.67,83.17,0.11,0,0,green,4,950,950,950,60,green,83.17,Mundo Novo,Natural / Dry
guatemala,250,2012,7.75,7.5,7.67,7.5,7.92,8,10,10,9.33,7.5,83.17,0,0,0,green,10,1402.08,1402.08,1402.08,2,green,83.17,Bourbon,Washed / Wet
brazil,25,2011,7.75,7.5,7.58,7.5,7.75,7.5,10,10,10,7.58,83.17,0.12,0,0,bluish-green,3,1000,1000,1000,60,bluish-green,83.17,Mundo Novo,Semi-washed / Semi-pulped
brazil,90,2011,7.58,7.75,7.67,7.5,7.67,7.58,10,10,10,7.42,83.17,0.02,0,0,others,2,900,900,900,60,bluish-green,83.17,,Other
el salvador,250,2010,7.42,7.83,8.17,8.08,7.17,7.58,10,9.33,10,7.58,83.17,0.14,0,0,others,3,1200,1200,1200,69,bluish-green,83.17,,Other
ethiopia,300,2011,7.75,8,7.67,8.08,7.83,7.92,9.33,9.33,9.33,7.92,83.17,0.01,0,0,others,0,1850,1850,1850,6,bluish-green,83.17,,Other
colombia,275,2016,7.58,7.67,7.33,7.67,7.75,7.58,10,10,10,7.5,83.08,0,0,1,green,4,1799,1799,1799,70,green,83.08,Caturra,Washed / Wet
colombia,275,2016,7.75,7.5,7.5,7.42,8,7.75,10,10,10,7.17,83.08,0,1,2,green,5,others,others,others,70,green,83.08,Caturra,Washed / Wet
