Country,Region,Producer,Number_of_Bags,Country_Partner,Harvest_Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Moisture,Category_One_Defects,Quakers,Color,Category_Two_Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Bag_Weight,Colors,quality_score,Variety,Processing Method
guatemala,oriente,conquista/ morito,250,asociacion nacional del café,2012,7.17,6.5,6.33,7.25,7.58,7.33,10,10,10,7.17,79.33,0.11,0,0,green,6,others,others,1400,1,green,79.33,Bourbon,Washed / Wet
taiwan,natou county,wu shu yi 巫叔憶,50,specialty coffee association,2014,7.08,6.83,6.83,7.25,7.42,7.08,10,10,10,6.75,79.25,0.11,0,0,bluish-green,0,850,850,1400,20,bluish-green,79.25,Typica,Washed / Wet
mexico,veracruz,marco virgilio ramirez teliz,12,amecafe,2012,7,7,6.92,7.17,7.17,7.08,10,10,10,6.92,79.25,0.13,0,0,green,10,1000,1000,1200,1,green,79.25,Bourbon,Washed / Wet
guatemala,santa rosa,otto becker,50,asociacion nacional del café,2017,7.33,7.42,7.33,7.42,7.5,7.42,8.67,9.33,9.33,7.42,79.17,0.1,0,0,green,0,1219.2,1219.2,1400,69,green,79.17,Bourbon,Washed / Wet
honduras,ocotepeque,jorge alfredo pinto,15,instituto hondureño del café,2017,7.58,7,6.75,6.92,7,6.92,10,10,10,7,79.17,0.11,0,0,green,5,1650,1650,1550,69,green,79.17,Catuai,Washed / Wet
guatemala,occidente,chapultepec,250,asociacion nacional del café,2016,7.08,7,6.92,7.42,7,6.92,10,10,10,6.83,79.17,0.11,0,8,green,6,1320,1320,1400,69,green,79.17,Bourbon,Washed / Wet
guatemala,nuevo oriente,ovidio cardona,275,asociacion nacional del café,2015,7.25,7.17,6.75,7.25,7,6.92,10,10,10,6.83,79.17,0.11,0,0,green,6,1300,1800,1600,69,green,79.17,Catuai,Washed / Wet
costa rica,san rafael,others,1,specialty coffee association,2012,7.17,7.42,7.5,8,7.25,7.83,10,10,6.67,7.33,79.17,0.1,5,0,others,20,others,others,1550,2,bluish-green,79.17,Catuai,Washed / Wet
mexico,zaragoza itundujia,hilario garcía sandoval,10,amecafe,2012,7.25,7.08,6.92,7.08,7.17,7.17,9.33,10,10,7.17,79.17,0.14,0,0,others,8,1550,1550,1600,1,bluish-green,79.17,Typica,Washed / Wet
mexico,yajalon,socieadad cooperativa industrial cafes yajalon s. c. l.,53,amecafe,2012,7.17,6.92,6.92,7.08,7.17,7,10,10,10,6.92,79.17,0.14,0,0,green,34,1450,1450,1600,1,green,79.17,Typica,Washed / Wet
